Gene1	Gene2	EdgeWeight
RPRD1B	FILIP1L	1
STARD5	RHOBTB3	1
CASD1	GSPT2	1
PAPOLG	SDSL	1
LY6A	LARGE1	1
SIAE	WIPF3	1
CORO7	CD300LG	1
SMAD5	KLHDC8B	1
MMP23	ZFP764	1
ADGRG3	CTSC	1
STAM	GPR160	1
SLC45A3	CD36	1
TRPC6	MINPP1	1
TMEM186	DAPP1	1
LSP1	NUDT4	1
PRICKLE3	FCER1G	1
YBX3	TRBC2	1
SLC1A4	ZFP53	1
KIF21B	GM20342	1
GK	CPVL	1
FAM185A	STXBP4	1
ATP13A2	FAM102A	1
ARMC7	WDR62	1
SLC9A6	MFSD14B	1
ZBTB5	ZFP93	1
ZFP239	HIST1H1C	1
ABR	CCSER2	1
MCTP1	COMT	1
MMP8	SUPV3L1	1
PRR5	KLHL24	1
MFAP3	SH3TC1	1
GNG11	FCER1G	1
EIF5A2	9230112E08RIK	1
ACLY	TACR1	1
MAST3	FAM184B	1
SFMBT2	GFRA1	1
PAQR7	BBS10	1
ABCD2	TFR2	1
NSUN3	SLC35D2	1
GM567	VAMP1	1
BTBD9	ENTPD1	1
APP	FAM126A	1
RSRP1	GPX3	1
AURKA	FAAH	1
9330198I05RIK	CDC14B	1
ARAP1	PTDSS1	1
SLCO2B1	SLC43A2	1
TBC1D4	EIF1AD	1
GM11934	SESN1	1
AA474408	RGS3	1
NCAPG	PLEKHA7	1
DGKA	KIF2C	1
ZBED4-PS1	RGS14	1
UNK	PRODH	1
KRBA1	ATP11A	1
TMEM263	FSTL1	1
ZCCHC12	KCNIP4	1
SLC25A38	TM9SF2	1
PAG1	AXL	1
PERP	GNB4	1
AFG3L2	JAML	1
SLC2A1	FAM161B	1
PRC1	TMEM106A	1
PIK3R2	RNF6	1
BBS9	CDCP1	1
UBOX5	BRAF	1
RNF213	C5AR1	1
MDH2	RAN	1
FLCN	TBCK	1
ORC2	ZFP995	1
GM10039	DHX58	1
MINDY1	BC035044	1
GM16794	SMARCA2	1
4930539E08RIK	GYPC	1
RNF14	SNX33	1
MAP3K8	MADD	1
PITRM1	TRIM59	1
PWP2	SLAMF6	1
FBXO21	KCNIP4	1
ATP2A3	SPACA9	1
DOCK11	PACSIN2	1
SLC26A1	GNA11	1
PDE4D	GM24468	1
UBOX5	HSP90AA1	1
FNDC3B	SLC17A4	1
HS3ST1	DDX39	1
PIRB	CTSH	1
OCLN	LTB	1
SLC17A5	ITGAM	1
PTPRC	CPQ	1
CRYZ	TRIM68	1
PRKAR1B	SLC25A38	1
TIMM29	CRK	1
PLPP2	GM4759	1
FGF13	PLA2G2C	1
GBE1	SLC23A2	1
RNF122	ZSCAN18	1
POMK	ARL6IP6	1
KMT5B	ZFP52	1
GPR19	CHL1	1
HARS2	NDFIP2	1
ANKRD44	CRISPLD2	1
INPP1	CKS2	1
BMP7	ITPR2	1
FBXL21	PKP2	1
ABI2	PRELID3B	1
GM5532	PPAT	1
MAPK10	TTF1	1
PLD4	ZXDC	1
CXCL12	FILIP1	1
SEC14L1	MC5R	1
GFPT2	5830405F06RIK	1
PLEK	METTL7A1	1
PRPS1	SERINC1	1
CTSZ	GM43112	1
NCOA7	ZFP729A	1
LPCAT1	EDA2R	1
AGMO	GM26610	1
CYTH3	ZFP715	1
ZBTB4	GM43852	1
B3GNT3	SCARF1	1
ATP11A	9030619P08RIK	1
CYB561	RUNX1T1	1
OAS3	6820402A03RIK	1
ADAMTSL2	ANKRD44	1
AIF1	TNFRSF25	1
MAVS	JAK1	1
IGHJ4	TENM3	1
KLHL24	MFSD4B4	1
ZFP157	TOMM70A	1
GJA1	ZFP790	1
RNF6	PLSCR4	1
LPCAT2	CDKL5	1
MCOLN3	CAR2	1
JAK3	GPRASP2	1
SLC6A19	NAP1L2	1
CLIC4	PLCB3	1
PTGES	COL23A1	1
PGM2L1	SSR2	1
NCEH1	SULT1A1	1
SARAF	HCRTR1	1
ZFP677	CCR7	1
AW549877	ZFP738	1
CKB	HSPA8	1
UVSSA	CSAD	1
IL6ST	GJA6	1
ZFR2	ZC2HC1A	1
PATL2	UPRT	1
NCLN	PLEK	1
GAS2	MAN1A	1
TRDV4	PHC3	1
NBEAL2	RGS18	1
ZFP239	ITGAV	1
UBXN11	ITGB2	1
FRMD8	ATP7A	1
N4BP3	GM11282	1
SH3BP5L	ABCD1	1
MDH2	ABCD3	1
SDHD	ACBD5	1
BBS4	ERP27	1
GM43360	PLEKHG6	1
RNF185	ABL2	1
GM8995	CDH15	1
CCT7	TRPV2	1
MGST2	NCAPG	1
PAG1	OAT	1
CHM	IMMT	1
UBL4A	CARD6	1
FBXL13	ZC4H2	1
SALL2	WDR55	1
MEAK7	PCSK7	1
NDST2	TAF1	1
ADRB2	MFN2	1
TEF	AMPD3	1
TET1	SLAMF8	1
NOL4L	GSTM5	1
GM3604	SLC52A2	1
PEA15A	KLHL4	1
NEURL3	TEK	1
CCDC102A	GM30948	1
RRM2	EPSTI1	1
PRIM1	ABCD3	1
VPS33B	SLC17A9	1
FES	NCLN	1
MYB	CRLF3	1
ZKSCAN3	USP11	1
HEY2	ELANE	1
XPR1	LSP1	1
ZFP418	GPR21	1
SH3PXD2B	GM26660	1
RRAD	YTHDF3	1
DHFR	MGAT5	1
AQP1	ELMOD2	1
ZFP715	WDFY3	1
TACC1	KLHL25	1
IGLC1	SUN1	1
AP5Z1	OASL1	1
ITGA6	CCL3	1
TXN2	CCDC137	1
GM13212	STARD5	1
HIST1H2BC	GDA	1
H2AFY	PKLR	1
DTX3L	PLXDC2	1
NFAT5	GBP2	1
DEK	SH3PXD2B	1
LSS	PTGES	1
PRKACB	SETD2	1
KBTBD13	ZFP141	1
CKB	ATP1A3	1
BMI1	AMOT	1
FZD8	PPOX	1
EIF5A2	LBHD1	1
TMEM123	GABBR1	1
ARRDC3	SLC35E1	1
1700029J07RIK	MDH2	1
OPLAH	KHNYN	1
NDOR1	ANKFY1	1
RASA3	TCRG-C1	1
S100A9	TBCD	1
EEPD1	DENND1C	1
WSCD2	TAF7L2	1
ACBD5	LCK	1
NUS1	OPLAH	1
LRRFIP1	CD52	1
RPS27L	PHF11B	1
PHETA1	ASNS	1
TOMM40	NUP107	1
CD22	SLFN8	1
PRR5L	BBS10	1
2810029C07RIK	HRH2	1
AZIN1	CALY	1
TMEM14C	NAT8F4	1
GM11346	SC5D	1
DPH6	ZFP729A	1
GPR22	OSTM1	1
IGKV12-44	1500005C15RIK	1
RNF135	MLKL	1
RAMP2	RASSF4	1
TLR6	ZDHHC6	1
COL4A2	LMBRD1	1
GTF3C3	PIK3CG	1
ASB2	MGRN1	1
ZFP354C	LMNA	1
GM3604	RGCC	1
CTSW	NOC4L	1
TIE1	ACSL5	1
ARL6IP6	ATG12	1
RHAG	IPO13	1
KEL	ALS2CL	1
ZSCAN22	CTSO	1
GSKIP	TMEM50B	1
TIMP2	GM9889	1
BTK	TMEM161B	1
GEM	ARXES1	1
NSD2	MPDZ	1
DDHD2	CCT8	1
HELLS	CYP2D22	1
CD53	CNST	1
RPS6KC1	GM5281	1
FOS	NPM1	1
TNFSF8	MS4A6C	1
TPCN2	TANGO2	1
ENG	BBS4	1
DDIAS	CYFIP2	1
RNF139	CRYZL2	1
TCRG-C4	APPL1	1
ENPP5	ID3	1
PFKM	IL15RA	1
CRISPLD2	AZIN1	1
GAB1	LRRC8B	1
GM5111	CFP	1
ZFP941	NUMB	1
FICD	MAPK13	1
GM43149	SLC35F2	1
FTX	FGD4	1
NFKBIA	ARID5A	1
RHBDF1	TOMM22	1
FAM102B	GM3604	1
SEPT8	CTSG	1
PLEKHO2	HPS6	1
GM10419	RHOH	1
FSD1	CRY2	1
ICAM1	FLCN	1
EDEM2	KIF3C	1
GM28277	ADAM17	1
KLHL23	CTSZ	1
2610301B20RIK	PHF11A	1
FGL2	BST1	1
GNS	MRM1	1
FEZ1	PRNP	1
RBAK	SLC12A2	1
SRC	COPS8	1
TREML1	COPG1	1
ADSL	SFRP1	1
TGFBR2	CYP39A1	1
LDHA	PLPP3	1
CD177	GSTT1	1
ANKRD27	EPX	1
NOC4L	KLRB1F	1
SLC43A1	GM42979	1
TRO	IL21R	1
GM37342	RAP1B	1
PDE4D	GM36930	1
ANAPC2	TNFSF8	1
GM15638	IGHV9-3	1
CCL9	ANKRD33B	1
GTF2F1	CTSO	1
CBFA2T2	CYB561	1
ETF1	NAE1	1
AB124611	SH3PXD2B	1
RNF19A	ERLIN1	1
CISH	TMEM132E	1
UBXN2B	MAPK13	1
SERPINB6B	EZH1	1
FAM160B2	IRAK2	1
C130013H08RIK	UBE2L6	1
MAMLD1	NATD1	1
PSTPIP1	IGKV4-92	1
PRODH	GZMB	1
IGHV1-77	SEC14L1	1
ZFP629	SLC16A1	1
HSPD1	HACL1	1
PLA2G3	PLIN3	1
CD36	GCLM	1
PLA2G2C	IL17RB	1
CXCL12	RNF139	1
NASP	NPLOC4	1
FGFR3	AI506816	1
IGTP	KLHL10	1
STX7	CCND3	1
IGKV4-92	CD274	1
RASSF6	IGSF10	1
ZFP994	GM37899	1
PRDM5	1300017J02RIK	1
GOLPH3L	CAPN5	1
ICE1	CD44	1
RBM11	P2RY10	1
GSTM1	NR2C1	1
ZFP661	EXD2	1
RAB32	PSAP	1
ARRDC4	CCDC137	1
ANXA9	ARHGAP19	1
NDUFB9	RGS19	1
CYP4V3	LZTR1	1
MESD	DDX60	1
DIS3L	ZSWIM3	1
ZFP759	6720489N17RIK	1
ITPR2	SLC34A3	1
PIGV	RUNX1T1	1
SLC46A3	NEK1	1
GM15446	GLB1	1
MYNN	LTB4R1	1
PIK3IP1	VWA5A	1
PICK1	CYP4V3	1
TMEM150A	FAM136A	1
RAB37	GM42585	1
B3GALNT1	TAB3	1
TATDN2	RIT1	1
AP1G2	NEK9	1
H2-DMA	ATP6AP2	1
GALNS	CIP2A	1
PSMD9	TRIB3	1
SLC17A5	IGHV5-2	1
GDAP10	AI506816	1
GM128	DHRS1	1
SYT3	SIGIRR	1
CDKN1A	FPR1	1
PTPN12	PPIC	1
STRAP	NFATC1	1
CFD	MOGS	1
AGPS	NUP107	1
GYS1	SCML4	1
FTX	RPA1	1
ZFP7	HNRNPAB	1
HYOU1	SOAT1	1
IL2RB	SLC5A3	1
PKP2	5430420F09RIK	1
KCTD12	GPR141B	1
BPIFB5	FEM1A	1
AXL	DENND5A	1
STK38	PDZPH1	1
SACM1L	JPT2	1
PTPN6	CIP2A	1
ATP6AP2	PHACTR2	1
ZFP449	LAYN	1
ZBP1	TNFAIP8	1
FSTL1	GM43359	1
NEO1	GIMAP1OS	1
MAP2K5	CD177	1
TPP1	SMPD2	1
CCDC102A	IFI207	1
HARS	MIB2	1
MBTPS1	STAM2	1
WARS2	CLEC12B	1
MCM2	DNASE1L3	1
MS4A2	NUDCD3	1
TMEM109	GEMIN5	1
SEC16B	FAM160B1	1
MMP8	F13A1	1
GOPC	AURKB	1
BTBD3	TTC26	1
CUL3	CST3	1
GUSB	MYCN	1
GM37314	STRIP1	1
ABCB4	GM26740	1
SMU1	IMMT	1
ZBTB48	AIF1	1
ZFP658	FNDC3A	1
SLA	STX7	1
ASPHD2	RUBCNL	1
HPGDS	NAP1L2	1
TNFRSF25	AKAP8L	1
QRFP	TRMT2A	1
NAA30	NRBP1	1
ZFP935	ZFP788	1
IER2	ZFP655	1
BUB3	ISYNA1	1
PDCL	HLTF	1
CD38	GM5111	1
ANKRD44	ZFP354C	1
QRFP	STX3	1
MKRN3	MTMR6	1
CTLA2B	SRXN1	1
FBXO21	HEXA	1
STX17	CPA3	1
IGHV1-74	ITGAM	1
KIF2C	TFR2	1
TRO	KIDINS220	1
RHBDL3	ARL11	1
ZFP874B	PPP1R36	1
VILL	VAV3	1
4930563E22RIK	LSS	1
TUBGCP2	RANBP17	1
YTHDF3	NEK6	1
SLC19A3	CRPPA	1
SATB1	CSTF1	1
CSF2	MESD	1
MYOG	ACOX3	1
GMNN	ADA	1
TLE4	DEPP1	1
GM16485	ZFP942	1
ARXES1	ASPRV1	1
MXRA8	RAPGEF3	1
PANX1	CHST14	1
ZFP955B	9430015G10RIK	1
MOSMO	BTG1	1
HIP1	HOMEZ	1
FAM234B	CD244A	1
LRRC14	GM42463	1
SLC44A2	PDE1B	1
MTOR	PIK3CG	1
TSPAN33	CD82	1
RHPN1	IFI208	1
BBS2	TMC6	1
IGHJ4	SLC34A2	1
SPIB	ZFP422	1
ENPP1	RNF4	1
DOCK11	SELENBP1	1
SFMBT2	EXOC3	1
BOC	EZH1	1
FUT8	LRIF1	1
ZFP329	MS4A6B	1
PRSS50	ZDHHC20	1
PDE7A	SLC6A3	1
RNF122	ZFP74	1
ANKRD44	RAB44	1
MTUS1	ITK	1
MNDAL	TRIM32	1
SLC23A2	TIMP3	1
TMEM209	CEP83OS	1
GM17034	BTC	1
C130023A14RIK	CAMKK1	1
FLT3	PIK3R1	1
PRKACB	5430403G16RIK	1
ZFP445	C87436	1
MYO5C	DDX4	1
PHF13	ACPP	1
RANBP6	HUS1	1
PSMD1	PLEKHB2	1
IGHV9-3	IGHV9-3	1
PON2	PIAS3	1
IGKC	SPPL2B	1
NFXL1	SPP1	1
TYK2	TALDO1	1
BZW1	TAPT1	1
FNDC3B	IGHV14-2	1
CBFA2T2	ARC	1
TUBB4A	CCNE1	1
LMBR1	ATP8A2	1
ORC5	ZFP449	1
TRAF1	COX6B1	1
LCP2	NOLC1	1
H2-AB1	COBLL1	1
PTP4A3	F830016B08RIK	1
ZSCAN21	UBXN11	1
TSPOAP1	ADAMTS10	1
TMEM97	GOLIM4	1
ABRAXAS2	GM8369	1
TIE1	PFKM	1
RNF2	SUN1	1
WSB1	HSPA4L	1
FAH	NOP2	1
BTG2	DPY19L1	1
FAM110C	TAF4B	1
H2-M3	SGCB	1
CD3G	COPG1	1
FRMD4A	PCSK7	1
GM37186	EBI3	1
ARL11	SOD1	1
SKAP2	D130040H23RIK	1
HORMAD2	SLC22A5	1
H2AFY	GM37978	1
IGHV14-2	GRAP	1
ADRB2	KLRB1F	1
H2-EB1	IL27RA	1
ADIPOQ	GALNT11	1
PKP2	GALNT6	1
SDHA	CDC42EP4	1
GM7694	SOAT1	1
PLCB2	FGFRL1	1
CKAP2	SRMS	1
GPCPD1	GCAT	1
PTGER4	CMTM6	1
TPP1	ARHGEF16	1
MAN1C1	BTBD3	1
BC002059	CRBN	1
HSPB1	H1F0	1
FSD1	CCDC181	1
ADCK1	PRTN3	1
MAPK8	SPIB	1
TIMP2	PPM1D	1
CSE1L	MTMR4	1
PLPP7	ASNS	1
CD96	MYB	1
OLFR178	TMEM176A	1
CITED4	CLIP3	1
PROS1	ENTPD5	1
CHP1	PTPN22	1
ALDH1A2	SCIN	1
PTPN12	2010300C02RIK	1
PCNA	VEGFC	1
STRAP	LY9	1
ZFP949	SCARB1	1
ATP11A	BAIAP3	1
MBTPS1	4930431P03RIK	1
UBR3	GJA6	1
CSF3R	PML	1
TTPA	NSDHL	1
USP4	HBP1	1
LIPH	XIST	1
CAV2	FHL2	1
STEAP3	MILR1	1
ZFP712	IRF7	1
LHFP	AP1S2	1
PBX1	TM6SF2	1
TNFSF10	PRDX3	1
COQ8A	TOPORS	1
KLHL25	UROS	1
FAR1	FARSA	1
HERC4	MIEF1	1
SLC17A4	GM49339	1
WDR47	ZFP839	1
FAM136A	WDSUB1	1
IFRD2	TMEM67	1
CRISPLD2	ODC1	1
GM11961	B3GALNT2	1
SCAMP1	CCT2	1
MTOR	LAPTM4B	1
A730011C13RIK	SLC16A12	1
ERCC4	CAR2	1
SLC4A1	N4BP2	1
KLHL7	NDRG2	1
CAMK2D	A230107N01RIK	1
CFAP74	ZFP266	1
NAPB	ESAM	1
ACCS	FILIP1L	1
SLC37A3	RHOQ	1
SEC23A	IFIT3	1
ALG2	NDUFV1	1
PLEKHO2	FOXJ3	1
PLA2G3	RAB27B	1
CDH1	DPH2	1
COPG2	FOXRED1	1
ELAC1	DNM1L	1
EVA1A	ZBTB42	1
SPATA13	CAR2	1
TMEM185A	EPB41L5	1
CD48	GM26610	1
GM567	GM4673	1
ZAP70	GM42683	1
AMOT	GM43359	1
LYPLAL1	METTL7A1	1
RANBP17	KIF13B	1
UROD	CLPX	1
REDRUM	TUBB4A	1
RPGRIP1L	KRT18	1
ZCCHC2	GM29112	1
GM38082	AU041133	1
SHMT1	GPR15	1
CALR	GM28455	1
EFTUD2	GM37342	1
SLC35G1	GM8995	1
CX3CL1	CASP12	1
GLB1L	IGHV1-74	1
ANGPT1	GOLPH3	1
BPGM	IGTP	1
BIN2	LRRC32	1
SPC25	BUB1B	1
MREG	SLC22A21	1
CCDC102A	NUDCD1	1
EHD3	IPCEF1	1
SLC16A12	PCDHB22	1
IKBKG	GM37298	1
SLC35E1	AP3M2	1
ARMCX2	MAGEH1	1
USP3	DLL4	1
ARAP1	ZFR	1
DEF8	PRNP	1
KNSTRN	SGCE	1
9630010A21RIK	DNAJC10	1
NDRG1	TAF4B	1
BTNL10	ZFP449	1
MDM2	COL5A1	1
STAT2	GM43149	1
S1PR1	RNF213	1
PTPN12	GTF2H1	1
TPP1	USP22	1
KCNQ1OT1	IL15	1
TREML2	USP10	1
BGN	BGN	1
SDC2	SARAF	1
LCN4	NPSR1	1
GM17354	GM15261	1
RNF227	LARS2	1
NRBP2	CCDC50	1
WFS1	KIF21B	1
OAS1B	IFT80	1
KBTBD8	PRF1	1
H2-M3	GSN	1
MX1	MXRA8	1
WFS1	FCER1A	1
GM15963	RNASE4	1
BTBD3	MARVELD1	1
FGD4	SLC29A2	1
ZFP82	CHCHD2	1
ST6GALNAC3	KIF13A	1
MEIS1	HASPIN	1
SGPL1	DSE	1
SLC23A2	UGCG	1
SLC12A3	E2F8	1
DDX31	KAT7	1
CCND3	CMA1	1
TMEM263	FSD1	1
MN1	FOXJ2	1
RSAD2	NOLC1	1
CCDC102A	PTGER3	1
ALDH6A1	ZFP619	1
CLEC1B	4930563E22RIK	1
FBXL13	GYG	1
LDHB	HEATR5B	1
MT2	GALK2	1
BCL11B	TMEM154	1
GM43268	WSB1	1
GNG12	GRK3	1
TMEM209	2210016L21RIK	1
WARS2	HIPK3	1
FAM76B	NR6A1	1
TMC6	MIR6236	1
ITSN1	GNL3	1
ZDHHC20	HNRNPLL	1
PLEC	TSPAN8	1
AIG1	LY6D	1
EPDR1	ARHGAP1	1
ASF1B	SLC22A3	1
AA474408	ATG4B	1
FNDC3B	TMEM177	1
DCAF11	UBE2G2	1
RAB11FIP3	JPT2	1
GM12655	CASC4	1
RUNDC3B	SHISA9	1
B3GNT5	GOLIM4	1
SMARCA2	ZDHHC13	1
GM13212	SCARA3	1
GLB1	KCNK5	1
ZFP108	SALL2	1
OASL1	HARBI1	1
ZFP952	P2RY12	1
PCSK7	TNNI1	1
FAM76B	FNTA	1
MAVS	OBSCN	1
ABCG2	PIK3R1	1
SLC37A2	MYO5A	1
ZBTB24	ZFP955B	1
SH3TC1	GM19391	1
PCDHGA2	SLC16A2	1
ZFP128	H6PD	1
F5	ZFP112	1
KIF16B	TLE4	1
GIMAP8	SDHD	1
LEKR1	RAB27B	1
TEK	ACLY	1
FCGRT	PDZD3	1
GM37183	IGKV1-110	1
RSRP1	SYDE1	1
ZC2HC1A	TIMM50	1
BST1	BCLAF3	1
BMP8A	AP5Z1	1
PCSK7	STEAP3	1
RNF43	RANGAP1	1
NXT2	ARG1	1
ZFP12	VSTM5	1
JRK	ALG2	1
AIG1	POT1A	1
NFKBIE	RPS27L	1
GIMAP4	RIC3	1
SLC35F6	ZFP758	1
FAM169B	OAS1B	1
CCDC122	SLC18A1	1
VEZF1	PTGS1	1
ABCD1	MPP5	1
LRRC8B	NAAA	1
PRKCD	NOP2	1
EIF4ENIF1	MINPP1	1
WFS1	RORC	1
GM37296	ZFP53	1
ST6GALNAC4	CRPPA	1
AP3M2	PSAT1	1
TALDO1	E030030I06RIK	1
GBP4	GM16794	1
MUC5B	TEAD3	1
SULF2	NR6A1	1
PKM	MMS19	1
CYC1	SDC2	1
ZFP287	IFIT3	1
PLAG1	SPI1	1
UVSSA	ZFP879	1
ABTB2	D130040H23RIK	1
KAT7	WFDC18	1
CD3G	ZFP455	1
ZFP712	MYLIP	1
PAK1	CDC20	1
FBXO30	4933404O12RIK	1
TMEM268	1700028E10RIK	1
5730455P16RIK	STAM	1
AP1B1	SNRPB	1
CTPS2	BTAF1	1
CMTM6	FTH1	1
COPG1	AP3M2	1
RALGPS2	HINFP	1
IER5	SEMA4A	1
GM43533	LRRC8C	1
RNASE12	LRMP	1
TTC39B	CNRIP1	1
ANKRD46	TMEM97	1
PPM1H	CTSO	1
ZFP709	PPP1R15A	1
RGS19	ENPP6	1
METTL25	GM40309	1
GEM	TSPO2	1
TTC21B	SLC19A2	1
ZBTB16	NDUFS1	1
GM17396	PDE5A	1
GM5431	UBA2	1
PRKACB	DENND5A	1
GBP10	E2F8	1
DRC7	PFKFB4	1
NAIP6	SLC2A3	1
CCL2	STAT3	1
CARD11	MAML3	1
CRIP2	MAPK9	1
HDX	RNF103	1
GPR157	GDF3	1
GPR174	TMEM241	1
ELOVL1	PLK5	1
C030034L19RIK	ITPR2	1
UPRT	AKTIP	1
GM37447	KLHL22	1
CRLF3	KRBA1	1
IFI205	AFF3	1
RIC3	ZSWIM4	1
NFATC2	PWWP3A	1
GIMAP6	IL2RA	1
CHIC1	ALDH3A1	1
SLC25A25	SCAMP1	1
CTSE	CAMK1	1
SLC41A1	STARD10	1
EIF3A	CTLA2A	1
CERS5	AAK1	1
CCNB2	GM38082	1
INO80D	F2R	1
OLFR178	SRMS	1
CACFD1	MIR6240	1
CIITA	TIMM29	1
BMI1	FSD1L	1
TMEM30A	KAZALD1	1
GDF11	NAMPT	1
LEF1	LDHA	1
NR3C2	SLC6A19	1
PCMTD2	IGHV8-8	1
PARM1	CKAP2L	1
GM4208	TTF2	1
TMEM241	ATP1B2	1
TACC3	MINDY4	1
PABPC4L	NEO1	1
SLC6A15	ADORA2A	1
SPATA2L	ATAD2	1
FAM118A	C030010L15RIK	1
ADAM8	TAF12	1
ALDH1A7	STX7	1
TMX4	HPSE	1
TTC39B	GDAP10	1
ERP27	FER	1
GM42141	CHM	1
IGHM	NFIL3	1
GM12503	TMEM62	1
USP28	PARD6B	1
PARP10	NXT2	1
ANTXR2	THADA	1
PPP6C	PCDHB18	1
SLC25A25	CACNA2D1	1
BMP8A	MMP17	1
UPP2	LTB	1
THEMIS2	MINDY3	1
THEMIS2	CTNNAL1	1
SLFN5	ABCF3	1
NAP1L3	PLEKHA2	1
ARSK	GALNT12	1
EDC3	LPAR1	1
USP37	TGM5	1
VAMP5	REXO4	1
AURKA	MIPOL1	1
SNX4	CD79B	1
INHBA	NCKAP1L	1
MZB1	ZFP3	1
ZFP871	USP46	1
MFAP3	HERC3	1
A430110C17RIK	ICE1	1
ATG4B	PHF13	1
HP	METTL8	1
STARD5	TNFRSF25	1
GM15446	GUCY1A1	1
FBXL4	JMJD4	1
ITPKC	MINDY3	1
SERINC1	ADAL	1
PDZK1IP1	ZFP280C	1
ITGA6	SEC24D	1
PSMA8	IL12RB1	1
CLOCK	IL1R2	1
RSAD1	MIR6240	1
E2F8	KANK3	1
LANCL2	CEP70	1
HERC4	UNK	1
OAS1A	DDX21	1
D130040H23RIK	NAPEPLD	1
GM43533	TNFSF14	1
PRDM15	OIT3	1
NT5DC1	ALKBH8	1
SLC31A2	CAD	1
NFATC1	ISYNA1	1
TBCD	MYO1F	1
ZFP12	SLC35F6	1
OLFR631	HIST1H3E	1
CKAP5	HLF	1
CLEC5A	PRDX3	1
MPZL1	RNF24	1
MYO1F	SMOC1	1
LAPTM5	NR1H3	1
GM42909	OAS3	1
C130023A14RIK	RHBDD1	1
GM37342	SRSF1	1
ELOVL6	ARL6IP6	1
USP15	SEPSECS	1
HEMGN	HSPA1A	1
KBTBD2	ZFP879	1
PIDD1	P3H1	1
SELPLG	NAMPT	1
RPS6KA6	ST6GALNAC3	1
TANC1	SLC37A3	1
GPR4	ZFP36	1
CDC14B	LRIG3	1
CIPC	TRBC1	1
TUBA8	PYGL	1
TCN2	LIPO3	1
MFGE8	MTHFR	1
NEDD9	DIP2B	1
FUT7	BMI1	1
LBHD1	ADAMTS10	1
2810414N06RIK	NICN1	1
MALAT1	MTHFD1	1
KLHL21	HMOX1	1
RIN2	GM16299	1
MGAM	SLC1A4	1
KIF20B	SCFD1	1
GOLGA1	NDE1	1
GM4208	ZFP820	1
IL6ST	RNF135	1
TMEM43	TOX2	1
HCFC2	GM43483	1
TCRG-C1	BOK	1
CORO1A	FLVCR1	1
FEM1C	SCAI	1
MPZL1	SGTA	1
SPAG1	GM15638	1
HBB-BS	VHL	1
UBR3	SNAP23	1
TMEM44	TEF	1
RANBP9	PAIP2B	1
KRT18	ZFP354C	1
CTLA2A	ZFP422	1
KIZ	DYNC1LI2	1
ADORA2B	CNST	1
ZFP2	RPP40	1
ANXA5	ADAM19	1
TGFBR1	SLC25A35	1
TNFSF4	KLHL6	1
GTF2E1	GSS	1
FDFT1	LHFP	1
EYA1	MYB	1
CDK1	PTPN22	1
TEAD2	GSKIP	1
PML	MCM2	1
GBP3	GULO	1
HOOK1	OLFR658	1
RUBCNL	ITGB7	1
ZCCHC24	PRDM4	1
NADK	ABCE1	1
FHL2	CBFA2T2	1
CTDSP2	DENND2A	1
MILR1	SLPI	1
FBXO32	PPM1L	1
KDF1	DUSP1	1
ZFP592	ZBTB43	1
CACFD1	SHISA9	1
ZFP942	SLCO4A1	1
VNN1	CSTF1	1
LBP	EFCC1	1
GSTT1	GGTA1	1
PCDHGA2	9030619P08RIK	1
GABRD	CRIP2	1
PRSS34	BBS12	1
GM42514	BSPRY	1
ANXA5	NR1D2	1
TAPBPL	GM37186	1
LMBR1	FBLN5	1
LYSMD3	ENTPD5	1
TMEM88	USP46	1
ITIH5	GM5111	1
RMND5A	UPP1	1
IFITM3	SPACA6	1
PSG17	PHETA2	1
ZFP119B	FTH1	1
S100A6	WDR78	1
FSD1L	FAM168B	1
OAT	SLFN4	1
ZMYM2	JAK1	1
BICD1	IL12RB1	1
NIF3L1	NAT8F4	1
AC174780.1	SEH1L	1
GM43692	CAND2	1
E030030I06RIK	PF4	1
GLB1L	GM42683	1
DDHD2	JAM2	1
UBA2	TNFSF11	1
GOLGA1	PQLC3	1
ZFP871	MFN2	1
VPS11	PLEKHG6	1
HSPD1	ZFP438	1
PIK3C3	SLC16A1	1
HARS2	CEP55	1
RFESD	SPPL2B	1
EML2	TMEM268	1
SLFN4	LRCH3	1
SLC52A2	CLTC	1
FBXO27	LYN	1
CEP68	CABLES2	1
ATP11A	TMEM62	1
TFG	GM38243	1
RBBP9	VSIG10L	1
PPME1	BATF2	1
NR4A1	POGK	1
DKK3	ASB8	1
LIPH	ZFP229	1
FAM20A	PLXDC2	1
TERT	CPOX	1
CLDN13	CNR1	1
DNAH1	EPB41L4B	1
GM40309	PFKP	1
E130307A14RIK	ZFP867	1
MEMO1	PUS7	1
UQCRC1	SBF2	1
ERP27	MCM5	1
IGFBP4	GPC1	1
EVI2A	CCDC112	1
TRPM6	GM38299	1
FILIP1L	SLC25A37	1
RHOT1	H2-DMB1	1
STAT2	MOV10	1
GM8995	CD93	1
CTNNA1	GLB1L2	1
GPR4	PRPF4	1
GM43123	TNFRSF1B	1
MRPL20	GM37718	1
GRAMD3	GPR18	1
GPR160	GM43359	1
AP1B1	CTSD	1
CRYBG1	CD33	1
IFIT2	CSTF2	1
ZFP51	LDHC	1
LPIN2	PAPSS1	1
GOPC	HIST1H4D	1
FLNA	GM26637	1
XAB2	ABI1	1
ISYNA1	TCAIM	1
WDR78	RBL2	1
